MES,DATOS
oct-87,60.6
nov-87,39.9
dic-87,27.1
ene-88,59
feb-88,40
mar-88,76.2
abr-88,88
may-88,60.1
jun-88,101.8
jul-88,113.8
ago-88,111.6
sep-88,120.1
oct-88,125.1
nov-88,125.1
dic-88,179.2
ene-89,161.3
feb-89,165.1
mar-89,131.4
abr-89,130.6
may-89,138.5
jun-89,196.2
jul-89,126.9
ago-89,168.9
sep-89,176.7
oct-89,159.4
nov-89,173
dic-89,165.5
ene-90,177.3
feb-90,130.5
mar-90,140.3
abr-90,140.3
may-90,132.2
jun-90,105.4
jul-90,149.4
ago-90,200.3
sep-90,125.2
oct-90,145.5
nov-90,131.4
dic-90,129.7
ene-91,136.9
feb-91,167.5
mar-91,141.9
abr-91,140
may-91,121.3
jun-91,169.7
jul-91,173.7
ago-91,176.3
sep-91,125.3
oct-91,144.1
nov-91,108.2
dic-91,144.4
ene-92,150
feb-92,161.1
mar-92,106.7
abr-92,99.8
may-92,73.8
jun-92,65.2
jul-92,85.7
ago-92,64.5
sep-92,63.9
oct-92,88.7
nov-92,91.8
dic-92,82.6
ene-93,59.3
feb-93,91
mar-93,69.8
abr-93,62.2
may-93,61.3
jun-93,49.8
jul-93,57.9
ago-93,42.2
sep-93,22.4
oct-93,56.4
nov-93,35.6
dic-93,48.9
ene-94,57.8
feb-94,35.5
mar-94,31.7
abr-94,16.1
may-94,17.8
jun-94,28
jul-94,35.1
ago-94,22.5
sep-94,25.7
oct-94,44
nov-94,18
dic-94,26.2
ene-95,24.2
feb-95,29.9
mar-95,31.1
abr-95,14
may-95,14.5
jun-95,15.6
jul-95,14.5
ago-95,14.3
sep-95,11.8
oct-95,21.1
nov-95,9
dic-95,10
ene-96,11.5
feb-96,4.4
mar-96,9.2
abr-96,4.8
may-96,5.5
jun-96,11.8
jul-96,8.2
ago-96,14.4
sep-96,1.6
oct-96,0.9
nov-96,17.9
dic-96,13.3
ene-97,5.7
feb-97,7.6
mar-97,8.7
abr-97,15.5
may-97,18.5
jun-97,12.7
jul-97,10.4
ago-97,24.4
sep-97,51.3
oct-97,22.8
nov-97,39
dic-97,41.2
ene-98,31.9
feb-98,40.3
mar-98,54.8
abr-98,53.4
may-98,56.3
jun-98,70.7
jul-98,66.6
ago-98,92.2
sep-98,92.9
oct-98,55.5
nov-98,74
dic-98,81.9
ene-99,62
feb-99,66.3
mar-99,68.8
abr-99,63.7
may-99,106.4
jun-99,137.7
jul-99,113.5
ago-99,93.7
sep-99,71.5
oct-99,116.7
nov-99,133.2
dic-99,84.6
ene-00,90.1
feb-00,112.9
mar-00,138.5
abr-00,125.5
may-00,121.6
jun-00,124.9
jul-00,170.1
ago-00,130.5
sep-00,109.7
oct-00,99.4
nov-00,106.8
dic-00,104.4
ene-01,95.6
feb-01,80.6
mar-01,113.5
abr-01,107.7
may-01,96.6
jun-01,134
jul-01,81.8
ago-01,106.4
sep-01,150.7
oct-01,125.5
nov-01,106.5
dic-01,132.2
ene-02,114.1
feb-02,107.4
mar-02,98.4
abr-02,120.7
may-02,120.8
jun-02,88.3
jul-02,99.6
ago-02,116.4
sep-02,109.6
oct-02,97.5
nov-02,95.5
dic-02,80.8
ene-03,79.7
feb-03,46
mar-03,61.1
abr-03,60
may-03,54.6
jun-03,77.4
jul-03,83.3
ago-03,72.7
sep-03,48.7
oct-03,65.5
nov-03,67.3
dic-03,46.5
ene-04,37.3
feb-04,45.8
mar-04,49.1
abr-04,39.3
may-04,41.5
jun-04,43.2
jul-04,51.1
ago-04,40.9
sep-04,27.7
oct-04,48
nov-04,43.5
dic-04,17.9
ene-05,31.3
feb-05,29.2
mar-05,24.5
abr-05,24.2
may-05,42.7
jun-05,39.3
jul-05,40.1
ago-05,36.4
sep-05,21.9
oct-05,8.7
nov-05,18
dic-05,41.1
ene-06,15.3
feb-06,4.9
mar-06,10.6
abr-06,30.2
may-06,22.3
jun-06,13.9
jul-06,12.2
ago-06,12.9
sep-06,14.4
oct-06,10.5
nov-06,21.4
dic-06,13.6
ene-07,16.8
feb-07,10.7
mar-07,4.5
abr-07,3.4
may-07,11.7
jun-07,12.1
jul-07,9.7
ago-07,6
sep-07,2.4
oct-07,0.9
nov-07,1.7
dic-07,10.1
ene-08,3.3
feb-08,2.1
mar-08,9.3
abr-08,2.9
may-08,3.2
jun-08,3.4
jul-08,0.8
ago-08,0.5
sep-08,1.1
oct-08,2.9
nov-08,4.1
dic-08,0.8
ene-09,1.3
feb-09,1.4
mar-09,0.7
abr-09,0.8
may-09,2.9
jun-09,2.9
jul-09,3.2
ago-09,0
sep-09,4.3
oct-09,4.8
nov-09,4.1
dic-09,10.8
ene-10,13.2
feb-10,18.8
mar-10,15.4
abr-10,8
may-10,8.7
jun-10,13.6
jul-10,16.1
ago-10,19.6
sep-10,25.2
oct-10,23.5
nov-10,21.5
dic-10,14.4
ene-11,18.8
feb-11,29.6
mar-11,55.8
abr-11,54.4
may-11,41.6
jun-11,37
jul-11,43.8
ago-11,50.6
sep-11,78
oct-11,88
nov-11,96.7
dic-11,73
ene-12,58.3
feb-12,32.9
mar-12,64.3
abr-12,55.2
may-12,69
jun-12,64.5
jul-12,66.5
ago-12,63
sep-12,61.4
oct-12,53.3
nov-12,61.8
dic-12,40.8
ene-13,62.9
feb-13,38.1
mar-13,57.9
abr-13,72.4
may-13,78.7
jun-13,52.5
jul-13,57
ago-13,66
sep-13,37
