FOLIO,EMPRESA,PUESTO,DIA,MES,ANIO,HORA,MIN,ACTP,SECTOR,FUN1,FUN2,FUN3,CAR1,CAR2,CAR3,PERIODICO,INTERNET,EMP,BOLSA,RECOM,EDAD,EDAD2,GENERO,GENERO2,VIAJA,EST,PASAN,LIC,POS,HORAEST,PROM,PROM2,DOMINIO,IT,ILE,IH,FT,FLE,FH,AT,ALE,AH,OTRO,OT,OLE,OH,EXP,EXPA,CARTA,EXAMED,EXAPSI,EXATEC,PREFE,INST1,INST2,INST3,COMU,EQUI,LIDER,CREA,PPER,TRAP,COMP,DEMO,RIES,ECONO,FINAN,IEST,PROBA,IDEO,MER,MODMAT,ST,MENC,PENS,DANIO,SPER,SISD,OTR_1,OTRO1,OTR_2,OTRO2,OFF,PAQUE,PAQ1,PAQ2,LENG,LENG1,LENG2,LENG3,PROG,DISE,RED,MBD,TECEXP,CII,MT,CTO,DEFI_1,DEFI_2,DEFI_3,DEFI_4,CURTEC,CURIDEO,DIPMA,ESTPUES,OBS
75,WASPERT CONSUTORÍA FINANCIERA,COORDINADOR DE RIESGOS,8,11,18,13,0,INTERMEDIARIO ENTRE  SEGUROS Y CLIENTE,2,NEGOCIAR LO BENEFICIOS EMPRESA Y ASEGURADORA,ATENCIÓN EN CASO DE SINIESTRO,AGRUPAR PÓLIZAS EN CARTERAS DE RIESGO,MATEMÁTICAS,FINANZAS, , ,X, ,X,X,N,0,N, ,S,X,X,X, ,S,S,8,S, ,X, , , , , , , , , , , ,N,0,S,S,S,S,N, , , ,5,4,4,5,4,5,2,2,2,2,2,2,2,3,2,2,2,3,3,3,3,1, ,0, ,0,S,N,EXCEL, ,S,FOX PRO, , ,1,1,1,2,S,N,S,N,FALTA DE COMPROMISO,COMUNICACIÓN, , ,S,N,S,S, 
76,LOCKTON,COORDINADIR DE PENSIONES,19,11,18,15,54,CONSULTORÍA ACTUARIAL,2,"SEGUIMIENTO A BASES, PROYECCIONES E HISTÓRICOS",CAPACIDAD DE SÍNTESIS DE RESULTADOS,ANÁLISI RELACIONADOS A PENSIONES,ECONOMIA,MATEMÁTICAS, , ,X, ,X, ,S,30,N, ,S,X,X,X,X,S,S,8,S, ,X, , , , , , , , , , , ,N,0,N,N,S,S,N, , , ,5,5,4,5,5,5,3,3,2,2,3,3,3,3,1,3,3,3,3,1,1,1, ,0, ,0,S,S,SPSS, ,S,SQL,SAS,VBA,3,2,1,3,S,S,N,N,FALTA DE TRABAJO EN EQUIPO,FALTA DE INTERÉS,NO SON AUNTODIDACTAS, ,S,N,S,S, 
77,CAMARA DE DIPUTADOS,ANALISTA PRESUPUESTOS EGRESOS,9,11,18,3,0,LEGISLACIÓN Y PRESUPUESTOS,1,LEGISLACIÓN,ANÁLISIS DE PEF,COMISIÓN FRONTERA,DERECHO,ECONOMIA, , , , , ,X,N,0,N, ,S,X,X,X, ,S,N,0,N, , , , , , , , , , , , , ,S,1,S,N,N,S,N, , , ,4,5,4,4,5,5,2,2,1,1,2,1,1,1,2,2,2,1,1,2,2,2, ,0, ,0,S,S,SPSS, ,N, , , ,1,1,1,3,N,N,S,S,FALTA DE CONOCIMIENTO,FALTA DE LIDERAZGO,NO SE CUENTA CON FACILIDAD DE PALABRA,NO TRABAJAR EN EQUIPO,N,S,S,S, 
78,MEDIACCESS SEGUROS DE SALUD SA DE CV,RESPONSABLE DE ADMINISTRACION DE RIESGOS,9,11,18,12,0,COMERCIALIZAR SEGUROS,2,ADMINISTRACION DE RIESGOS,ANALISIS DE INFORMACION OPERATIVA Y FINANCIERA,REPORTES PARA TOMA DE DECISIONES,ACTUARIA,MATEMATICAS,ECONOMIA, ,X, , ,X,S,35,N, ,N, , ,X, ,S,N,0,S, ,X,X, , , , , , , , , , ,N,0,S,N,S,S,S,FACULTAD DE CIENCIAS UNAM,ITAM, ,5,5,4,4,3,3,3,2,2,2,3,3,2,2,2,3,2,2,2,2,2,2, ,0, ,0,S,N, , ,S,R,SQL,PYTHON,2,1,1,3,S,N,S,N,FACILIDAD DE COMUNICACION HABLADA,TRABAJO EN EQUIPO, , ,S,N,N,S, 
79,GRUPO NACIONAL PROVINCIA,ANALISTA,10,11,20,3,0,SEGUROS,2,DESARROLLO DE MACROS,ESPECIFICAMENTE EN FLOTILLAS DE EQUIPO PESADO,DESARROLLO DE MACROS,ACTUARIA,PROGRAMACION,ECONOMIA, , ,X,X,X,N, ,N, ,S,X,X,X,X,S,S,8,S,X,X,X, , , , , , , , , , ,N,0,N,S,S,S,S,ITAM, , ,5,5,5,4,3,5,2,1,3,1,1,2,3,2,1,2,3,1,1,3,2,2,MACROS EN EXCEL,3, , ,S,N, , ,S,FOXPRO, , ,2,1,1,3,S,S,S,N,DEFICIENCIAS AL IMPLEMENTAR EJERCICIOS PRACTICOS, , , ,S,S,S,S, 
81,SERVICIO DE ADMINISTRACION TRIBUTARIA SAT,JEFE DE DEPARTAMENTP,11,11,18,14,30,"EVALUACION,ANALISIS E IMPLEMENTACION DE MODELOS DE RIESGO",1,DESARROLLO DE MODELOS DE RIESGO,ADMINISTRACION Y MANEJO DE BASES DE DATOS Y LEGUAJES DE PROGRAMACION,ANALISIS DE INFORMACION,ECONOMIA,INFORMATICA,CONTABILIDAD, ,X, ,X,X,N,0,N, ,N, , ,X, ,N,N,0,S,X,X, , , , , , , , , , , ,S,2,S,S,S,S,N, , , ,4,5,5,5,4,5,3,3,3,3,3,3,2,2,3,3,3,3,1,1,1,1, ,0, ,0,S,S,"BASES DE DATOS, MYSQL, SQL SERVER","SISTEMAS OPERATIVOS (WINDOWS, LINUX)",S,"R,SAS","PHP,JS,HTML,JASON",FOX PRO,2,3,3,3,S,N,S,N,NO TIENEN ENFOQUE PRACTICO,EL AVANCE EN LA TECNOLOGIA EXIGE MAYOR CONOCIMIENTO EN EL RAMO DE PROGRAMACION Y MANEJO DE DATOS, , ,S,S,S,S, 
82,GRUPO INMOBILIARIO 2000,ANALISTA FINANZAS SR,9,11,18,18,15,INVERSIONES,2,EVALUACION DE OPCIONES,CREACION DE PORTAFOLIOS DE INVERSION,SEGUIMIENTO DE INVERSIONES,ECONOMIA,FINANZAS,MATEMATICAS, , , ,X,X,N, ,N, ,N, ,X,X,X,N,N, ,N, , , , , , , , , , , , , ,N,0,S,S,N,N,N, , , ,4,5,4,4,2,3,3,1,2,2,3,2,2,2,2,3,3,3,1,1,1,1, , , , ,S,N, , ,S,BASES DE DATOS, , ,1,2,1,3,N,S,S,S,FALTA DE CONOCIMIENTO PRACTICO, , , ,S,N,S,N, 
83,FINANCIERA MEXICANA,ANALISTA EN FINANZAS,10,11,18,9,40,INVERSIONES,1,SEGUIMIENTO DE INVERSIONES,CREACION DE PORTAFOLIOS DE INVERSION, ,CONTADURIA,MATEMATICAS,ECONOMIA, ,X, ,X,X,N,0,N, ,N, , ,X, ,N,N,0,S,X,X, , , , , , , , , , , ,S,1,S,S,S,S,N, , , ,5,5,4,4,5,5,3,2,3,3,3,2,2,2,2,3,2,3,1,1,1,1, ,0, ,0,S,S,MYSQL,SISTEMAS OPERATIVOS,S,BASES DE DATOS, , ,3,3,3,3,S,N,S,S,NO TIENE ENFOQUE PRACTICO,SE EXIGE UN MAYOR CONOCIMIENTO EN BASES DE DATOS PARA LA GRAN DEMANDA DEL MERCADO, , ,S,S,S,S, 
84,INVEX TARJETAS,SUBGERENTE,8,11,18,17,15,TARJETAS DE CREDITO,2,ANALISIS DE RIESGOS, , ,MATEMATICAS,ECONOMIA, , , , ,X, ,N,0,N, ,N, ,X,X,X, ,N,0,S, ,X, , , , , , , , , , , ,N,0,S,S,S,S,N, , , ,5,5,4,5,4,5,3,2,3,3,3,3,3,2,2,3,3,2,1,1,1,2, ,0, ,0,S,S,SAS, ,S,SQL,PYTHON,R,2,1,1,2,S,N,S,N,ESTRUCTURA Y FORMALIDAD AL PROGRAMAR, , , ,S,N,N,S, 
85,COMISION NACIONAL DE SEGUROS Y FIANZAS,DIRECTOR DE SUPERVISON DE RIESGOS,6,11,18,8,13,SUPERVISION DEL SECTOR ASEGURADO Y AFIANZADOR,1,REVISION DE CAPITAL DE SOLVENCIA,REALIZAR VISITAS DE INSPECCION,PROPONER MEJORAS A LA REGULACION,ACTUARIA,MATEMATICAS, , ,X, , , ,N, ,N, ,N, , ,X,X, ,N,0,N, , , , , , , , , , , , , ,N,0,N,N,N,N,S,CIENCIAS, , ,5,5,5,5,5,5,3,2,3,1,3,3,3,1,1,3,3,2,2,3,3,3, ,0, ,0,S,N, , ,S,SQL,MATLAB,VISUAL BASIC,3,2,2,3,S,S,S,N,TRABAJO EN EQUIPO,LIDERAZGO,PRESENTACION,CONOCIMIENTOS TECNICOS,S,N,S,S, 
86,BUPA MEXICO COMPAÑIA DE SEGUROS SA DE CV,ACTUARIO,8,11,18,17,0,COMPAÑIA DE SEGUROS,2,VALUACION DE RESERVAS,INFORMACION ESTADISTICA,PRODUCTOS,ACTUARIA,MATEMATICAS, , ,X,X, ,X,N, ,N, ,S, ,X, , , , , ,S, ,X,X, , , , , , , , , , ,N,0,S,N,S,N,N, , , ,4,4,3,5,4,5,3,2,2,2,2,3,2,1,1,2,3,2,1,1,3,2, , , , ,S,S,SQL, ,S,VISUAL BASIC, , ,2,1,1,2,S,S,S,N,CAPACIDAD ANALITICA PARA RESOLVER PROBLEMAS,TRABAJO SOBRE PRESION, , ,S,N,N,S, 
87,BANCO DE MÉXICO,ANALISTA DE RECLUTAMIENTO Y SELECCIÓN,6,11,18,1,0,SELECCIÓN DE PERSONAL,1,ELABORACIÓN DE METODOLOGIAS PARA SELECCIÓN DE ASPIRANTES,ANALISIS DE APTITUDES DE LOS SOLICITANTES, ,ACTUARIA,MATEMÁTICAS,ECONOMIA, ,X, ,X, ,N,0,N, ,N, , ,X,X,S,S,8.5,S,X,X,X, , , , , , , , , , ,N,0,N,N,S,S,N, , , ,5,5,5,5,5,5,3,1,3,3,3,3,3,2,1,3,3,1,1,1,1,3, ,0, ,0,S,S,"BLOOMBERG, SPSS, STATA, MINITAB", ,S,"SQL, SQL SERVER, C++, JAVA, SAS", , ,3,3,3,3,S,S,S,S,ANALISIS Y PROCESAMIENTO DE DATOS,ANALISIS TÉCNICO, , ,S,N,S,S, 
88,NACIONAL FINANCIERA,ANALISTA DE RECLUTAMIENTO Y SELECCION,8,11,18,12,0,ANÁLISIS DE LAS DIVERSAS FUENTES DE RECLUTAMIENTO ACTIVAS,1,GESTIÓN DE RECLUTAMIENTO MASIVO,NEGOCIACIÓN CON CLIENTES INTERNOS Y COTRATANTES,DISEÑO Y APLICACIÓN DE ASSESSMENT CENTER,ACTUARIA,ADMINISTRACIÓN DE EMPRESAS,ECONOMIA,X,X, ,X, ,N,0,N, ,S, , ,X,X,N,S,8.5,S,X,X,X, , , , , , , , , , ,S,1,S,N,S,S,S,FACULTAD DE CIENCIAS UNAM,ITAM, ,5,5,5,5,3,5,3,1,3,3,2,2,2,1,1,2,3,1,1,1,1,3, ,0, ,0,S,S,SQL, ,S,"R, PYTHON, JAVA", , ,3,3,3,3,S,S,S,S,ERRORES TECNICOS,DESCONOCIMIENTO DE LOS PROCEDIMIENTOS INTERNOS,MANEJO DE IDIOMA, ,S,N,S,S, 
89,CONSAR,DIRECTOR DE RECURSOS HUMANOS,23,11,18,10,0,COORDINACION GENERAL DE ADMINISTRACION Y TECNOLOGIAS,1,SUPERVICIÓN DE PERSONAL ADSCRITO A LA INSTITUCIÓN,REVISIÓN DE METRICAS PARA CONTRATACIÓN DE PERSONAL, ,ACTUARIA,MATEMÁTICAS,DERECHO, ,X,X,X, ,N, ,N, ,N, , ,X,X,N,N,0,S,X,X, , , , , , , , , , , ,S,2,N,N,N,S,S,FACULTAD DE CIENCIAS UNAM,FES ACATLAN,ITAM,2,4,4,5,3,5,3,3,2,3,2,3,3,1,1,3,3,2,3,1,3,3,SEGURIDAD SOCIAL,3,RESERVAS,3,S,N,PROJECT, ,S,"SQL, JAVA", , ,2,2,2,2,S,S,S,N,DEFICIENCIAS EL CONOCIMIENTO DE EL MARCO REGULATORIO,DESCONOCIMIENTO DE LOS SISTEMAS DE AHORRO PARA EL RETIRO,PROBLEMAS DE COMUNICACIÓN, ,S,S,S,S, 
90,FINANCIERA GRUPO ACTIVAMOS,BECARIA ÁREA DE FONDEO,9,11,18,21,0,OTORGAMIENTO DE MICROCRÉDITOS,2,PRESENTACIÓN DE CARTERAS DE CRÉDITOS,MANEJO DE SISTEMA OPERATIVO, ,ECONOMIA,ACTUARIA,MATEMÁTICAS, ,X, , ,X,N, ,S,F,N,X,X,X,X,S,N, ,N, , , , , , , , , , , , , ,N,0,S,N,N,S,N, , , ,4,4,5,5,4,5,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,0, ,0,S,N, , ,N, , , ,2,1,1,3,S,N,S,N,NO SABER TRABAJAR EN EQUIPO, , , ,S,S,N,S, 
92,SECRETARÍA DE HACIENDA Y CRÉDITO PÚBLICO,JEFE DE DEPARTAMENTO,9,11,18,20,10,"POLÍTICA FINANCIERA, FISCAL, DE GASTO, DE INGRESOS Y DEUDA PÚBLICA DEL GOBIERNO FEDERAL",1,ANÁLISIS DE DATOS,AUTOMATIZACIÓN DE PROCESOS,SUPERVICIÓN DE INGRESOS,ECONOMIA,MATEMÁTICAS,ACTUARIA, ,X,X,X,X,N, ,N, ,N,X,X,X,X,S,S,8,S,X,X, , , , , , , , , , , ,N,0,S,S,S,S,N, , , ,4,5,2,5,5,5,3,1,2,2,3,2,2,2,1,3,2,2,1,1,1,1, ,0, ,0,S,N, , ,S,VISUAL BASIC,SQL, ,2,1,2,3,S,S,S,S,FALTA DE LENGUAJES DE PROGRAMACIÓN,NIVEL DE EXCEL BAJO,FALTA DE DISPONIBILIDAD DE TIEMPO, ,S,S,S,S, 
93,COMISION NACIONAL BANCARIA Y DE VALORES,DIRECTOR DE AREA,8,11,18,14,25,REGULACION Y SUPERVISION DE ENTIDADES FINANCIERAS,1,DEFINIR Y EMITIR REGULACION,SUPERVISAR ENTIDADES FINANCIERAS,ANALISIS DE REPORTES,MATEMATICAS,ACTUARIA,ADMINISTRACION DE EMPRESAS, ,X, , , ,N,0,N, ,N,X,X,X,X,S,S,9,N, , , , , , , , , , , , , ,N,0,N,N,N,S,N, , , ,3,5,3,5,3,5,3,1,2,2,3,2,2,2,2,2,2,2,1,1,1,1, ,0, ,0,S,S,"K , SAS, MATLAB", ,S,R,SAS,MATLAB,3,2,1,1,S,N,S,N,NINGUNA, , , ,N,N,N,N,DENTRO DE LA CARRERA DE LOS ACTUARIOS ENSEÑARLES MAS SOBRE EL COMPORTAMIENTO FINANCIERO.
94,COMISION NACIONAL BANCARIA Y DE VALORES,ANALISTA SUPERVISORA,6,11,18,10,48,"SUPERVISAR, AUTORIZAR, REGULAR",1,AUTORIZAR ENTIDADES RESPECTO A RIESGO OPERACIONAL,CALCULOS DE REQUERIMIENTO DE CAPITAL,REPORTES REGULATORIOS,ACTUARIA,MATEMATICAS,INGENIERIA, ,X, , ,X,N, ,N, ,N, ,X,X, ,S,S,8,N, , , , , , , , , , , , , ,N,0,S,S,N,S,N, , , ,5,5,5,5,4,5,3,1,3,2,3,3,2,2,2,3,2,2,1,1,1,1, ,0, ,0,S,S,R,SQL,S,R,SQL,SAS,2,2,2,3,S,S,S,S,MAYOR EXPRESION VERBAL, , , ,S,S,S,S,QUE LOS ACTUARIOS RECIEN EGRESADOS DE LA CARRERA TENGAN MEJOR MANERA DE COMUNICACION Y DESARROLLO VERBAL.
95,CONDUSEF,JEFE DE DEPARTAMENTO,6,11,18,12,41,EDUCACION FINANCIERA Y PROTECCION A USUARIOS,1,DESARROLLO Y ADMINISTRACION DE HERRAMIENTAS FINANCIERAS,ELABORACION DE ANALISIS DE PRODUCTOS FINANCIEROS,EMISION DE RECOMENDACIONES A INSTITUCIONES FINANCIERAS,ECONOMIA,MATEMÁTICAS,ADMINISTRADORES, , , ,X, ,N, ,N, ,N,X,X,X, ,S,N, ,N, , , , , , , , , , , , , ,N,0,S,S,S,S,N, , , ,4,4,3,5,4,5,2,1,1,1,2,2,1,1,1,1,1,1,2,2,2,1, ,0, ,0,S,N, , ,N, , , ,2,1,1,2,S,S,S,N,DEFICIENCIA EN LA RESOLUCION DE PROBLEMAS PRACTICOS, , , ,S,N,S,S,INCLUIR A LOS ESTUDIANTES DE CIENCIAS UNA MATERIA CON EL SISTEMA FINANCIERO MEXICANO.
97,PETROLEOS MEXICANOS,JEFE DE DEPARTAMENTO,11,11,18,20,0,EXPLOTACIÓN DE PETROLEO,1,PROCESAMIENTO DE NÓMINA,VIGILAR PAGO DE PRESTACIONES,RESGUARDAR DOCUMENTOS ESPECIALES,ECONOMIA,ACTUARIA,CONTABILIDAD, , , ,X,X,N,0,S,F,S, , ,X,X, , ,0,N, , , , , , , , , , , , , ,N,0,N,S,S,N,N, , , ,3,5,4,4,4,5,3,2,2,2,3,3,2,2,2,3,2,2,2,2,2,2,PROGRAMACIÓN,3, ,0,S,S,SAP, ,S,NAS, , ,3,3,3,3,N,N,N,N,FALTA QUERER APRENDER ANTES DE QUERER MODIFICAR,CURSOS AL FINAL DE LA CARRERA DE CÓMO ES REALMENTE, , ,S,S,S,S, 
98,NORTHSTAR ENTERPRISE SOLUTIONS,CEO,11,11,18,18,0,ANÁLISIS FINANCIERO,2,ANÁLISIS FINANCIERO INTEGRAL,VALUACIÓN DE PROYECTOS,VALUACIÓN DE EMPRESAS,ACTUARIA,ECONOMIA, , ,X,X, ,X,N, ,N, ,N, ,X,X,X, , , ,S, ,X, , , , , , , , , , , ,N,0,N,N,N,N,N, , , ,5,5,5,5,5,5,3,2,2,3,3,2,2,2,2,2,2,2,1,1,1,2, , , , ,S,N, , ,N, , , ,1,1,1,3,S,N,S,N,FALTA DE COMPROMISO,POCO USO DE EXCEL,POCO ANÁLISIS,FALTA DE TEORÍA APLICADA,N,N,S,N, 
99,BANORTE,ESPECIALISTA SUPERVISOR,11,11,18,19,0,SECTOR BANCARIO,2,ANÁLISIS OPERACIONES DE CLIENTES EMPRESARIAL,DESARROLLO DE MONITOREO DE ESTADÍSTICAS,DESARROLLO DE APPS DE MANEJO EMPRESARIAL,ACTUARIA,INGENIERÍA EN SISTEMAS,ARQUITECOS DE SISTEMAS, , ,X, ,X,N, ,N, ,N,X,X,X,X,S,N, ,S, ,X, , , , , , , , , , , ,N,0,N,S,S,S,N, , , ,4,3,4,4,3,5,3,1,1,2,3,3,3,2,2,3,3,2,1,1,2,3,PROGRAMACIÓN,3, , ,S,S,POWER BI,AZURE,S,R,SQL,VISUAL STUDIO,3,2,1,3,S,S,S,N,APLICACIÓN PRÁCTICA DE CONOCIMIENTOS,COMUNICACIÓN,NUEVAS PERSPECTIVAS,ADAPTARSE A LOS CAMBIOS,S,S,S,S,"COMO ACTUARIOS, NO CERRARSE A TRABAJAR SÓLO EN SEGUROS Y FINANZAS"
100,AMERICAN EXPRESS BANK,ANALISTA DE RIESGOS,9,11,18,16,0,DESARROLLO DE MODELOS PARA DISTINTAS AREAS DE RIESGO,2,DESARROLLO DE MODELOS PARA DISTINTAS AREAS DE RIESGO FINANCIERO,DESARROLLO DE MODELOS PARA DISTINTAS AREAS DE CREDITO FINANCIERO,DESARROLLO DE MODELOS PARA DISTINTAS AREAS DE FRAUDES FINANCIERO,MATEMÁTICAS,ACTUARIA,FINANZAS, , ,X,X, ,N, ,N, ,N,X,X,X,X,S,N, ,S,X,X, , , , , , , , , , , ,N,0,S,N,S,S,N, , , ,4,4,4,4,4,4,2,1,2,1,2,2,2,1,1,2,2,1,1,1,1,1, ,0, ,0,S,S,SPSS,SAS,S,R,PYTHON, ,3,1,1,3,N,S,S,N,EXPERIENCIA, , , ,S,S,S,S, 
101,GRUPO SALINAS BANCO AZTECA,CIENTIFICO DE DATOS,8,11,18,15,30,BANCARIA,2,EXTRACCION DE DATOS,ANALISÍS DE DATOS,MANEJO DE BASES DE DATOS,ACTUARIA,MATEMÁTICAS,ADMINISTRACIÓN, , ,X,X,X,N, ,N, ,N,X,X,X,X,S,S,8,N, , , , , , , , , , , , , ,N,0,S,S,S,S,S,FACULTAD DE CIENCIAS UNAM, , ,5,5,2,4,5,3,3,1,1,2,1,3,2,2,1,3,3,1,1,1,1,1, ,0, ,0,S,N, , ,S,R, , ,3,1,1,3,S,S,N,N,NO SABER EXPLICAR IDEAS Y RESULTADOS,FALTA DE MANEJO DE IDIOMA INGLES,FALTA DE INTEGRACION PARA TRABAJO EN EQUIPO, ,N,N,N,S, 
102,DOOPLA,DIRECTORA DE INVERSIONES,7,11,18,16,0,MANEJO DE PORTAFOLIOS DE INVERSION,2,PRESTAMOS PERSONA A PERSONA,CALCULO DE RESERVAS,PROSESOS ESTOCASTICOS,ACTUARIA,ECONOMIA, , ,X, ,X,X,N, ,N, ,N,X,X,X,X,S,N,0,S, ,X, , , , , , , , , , , ,N,0,N,N,N,N,S,FACULTAD DE CIENCIAS UNAM, , ,5,5,5,5,2,3,3,1,1,2,3,3,3,1,1,3,3,1,1,1,1,1, ,0, ,0,S,N, , ,S,C, , ,2,2,1,3,S,N,N,N,NO SABEN INTERPRETAR RESULTADOS, , , ,S,N,S,S, 
103,INSTITUTO NACIONAL DE GERIATRIA,INVESTIGADOR EN CIENCIAS MEDICOS,10,11,18,0,1,INVESTIGACION,1,INVESTIGAR ACERCA DE REDES Y FRAGILIDAD,ANALISIS ESTADISTICO,AYUDAR EN LA ADMINITRACION DEL AREA DE CIENCIA DE DATOS,PSICOLOGIA,QUIMIO INFORMATICA, , ,X, ,X,X,N,0,N, ,N, ,X,X,X,S,S,8,S,X,X,X, , , , , , , , , , ,N,0,S,N,N,S,N, , , ,5,5,4,5,3,3,3,2,1,2,1,3,2,1,1,3,2,3,1,1,1,1, ,0, ,0,S,S, PYTHON,R,S,CUALQUIERA, , ,2,2,1,3,S,N,S,N,PROBLEMAS EN REDACCION Y COMPRENSION DE LECTURA,PROBLEMAS EN CONOCIMIENTO DE SOFTWARE,FALTA DE CONOCIMIENTO EN TEMAS BASICOS DE ESTADISTICA, ,S,N,S,N,UNA PERSONA MUY PROFESIONAL
104,BESCO DE MEXICO,AUXILIAR EN METODOS Y PROCEDIMIENTOS,6,11,18,1,0,MANTENIMIENTO,2,ANALISIS DE RIESGO FINANCIEROS,AUDITORIA DE NEGOCIO,ECONOMETRIA,CONTADURIA,INFORMATICA,ADMINITRACION GENERAL, ,X, ,X,X,S,45,N, ,S,X,X,X,X,S,S,8,S,X, , , , , , , , , , , , ,S,1,S,N,S,S,N, , , ,5,5,5,5,5,5,3,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2, , , , ,S,N, , ,S,VISUAL FOX PRO, , ,1,2,1,3,S,S,S,N,IDIOMA,MANEJO DE SOFTWARE ESPECIFICO,MANEJO DE EXCEL,HABILIDADES DE NEGOCIACION,S,N,N,S,UNA PERSONA MUY SOCIALE
105,COMISION NACIONAL DE PROTECCION SOCIAL EN SALUD,SUBDIRECTORA DE DESARROLLO,5,11,18,18,0,BRINDAR SERVICIOS DE SALUD A POBLACION NO DERECHOHABIENTES,1,VALUACIONES ACTUARIALES DEL SISTEMA DE PROTECCION SOCIAL EN SALUD,ANALISIS ESTADISTICA ESTIMACIONES Y PROTECCIONES DE SUFICIENCIA,DETECCION DE RIESGOS FIANACIEROS Y PROPUESTAS PARA MITIGARLAS,ACTUARIA,MATEMATICAS,ECONOMIA, ,X, ,X, ,N, ,N, ,N, , ,X, , , , ,N, , , , , , , , , , , , , ,S,3,S,N,S,S,N, , , ,4,4,5,5,5,4,3,2,3,3,2,3,2,2,2,3,3,2,2,2,2,2, , , , ,S,S,BASE DE DATOS SQL,PROGRAMA ESTADISTICO COMO R,S,MACROS EN EXCEL (VISUAL BASIC), , ,2,2,1,2,N,S,S,N,FALTA DE CRITERIO / ANALISIS CRITICO,DIFICULTADES PARA USO DE EXCEL AVANZADO Y DE BASES Y DATOS,PROBLEMAS PARA EXPONER / PRESENTAR IDEAS CLARAS Y CONCISAS,FALTA DE VISION DE NEGOCIO,S,N,S,S,MUY PROFESIONAL
106,BBVA BANCOMER POLANCO,GERENTE DE SISTEMAS ARQ GLOBAL,9,11,18,9,55,INSTITUCION FINANCIERA DE BANCA MULTIPLE,2,DISEÑO/EVALUACION DE MODELOS ANALITICOS,COORDINACION DE EQUIPOS DE DESARROLLO,MANTENIMIENTO PROACTIVO DE MODELOS/PROCESOS/PLATAFORMA DE DATOS,MATEMATICAS APLICADAS,INGENIEIRA EN SISTEMAS,INGENIERIA TELEMATICA, ,X, ,X, ,N,0,N, ,N, , ,X, ,N,N,0,S,X,X,X, , , , , , , , , , ,S,3,S,S,S,S,S,ITAM, , ,4,5,4,4,4,4,3,1,1,1,3,3,3,1,1,3,3,3,1,1,1,1, ,0, ,0,S,S,SAS, ,S,APACHE SPARK / HADOOP,SCALA,PYTHON,3,2,3,3,S,S,S,S,FALTA DE EXPERIENCIA CON SCALA,FALATA DE EXPERIENCIA EN DISEÑO DE MODELOS, , ,S,N,S,S, 
107,BBVA BANCOMER REFORMA,ASESOR DE INTELIGENCIA COMERCIAL,0,11,18,10,0,INSTITUCION FINANCIERA DE BANCA MULTIPLE,2,DESARROLLO Y PRODUCTIVIZACION DE MODELOS Y PROCESOS ANALITICOS, , ,MATEMATICAS,ACTUARIA,COMPUTACION, , , , ,X,S,45,N, ,N, ,X, , ,S,N,0,N, , , , , , , , , , , , , ,N,0,N,N,N,N,S,ITAM,UNAM,CIMAT,5,4,3,2,1,3,3,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1, ,0, ,0,S,S,HADOOP,SAS,S,CLOUDERA TERADATA,PYTHON SPARK,SQL,2,2,2,3,N,N,N,N,AL NO HABER ENTREVISTAS TECNICAS LAS DEFICIENCIAS SON VARIADAS,NO SE TIENE UN PERIFL DEFINIDO, , ,S,N,S,N,"SE CONTRATA GENTE CON MAESTRIA EN ESTADISTICA O CIENCIA DE DATOS, PERO NO SE LES PERMITE APORTAR, ES SOLO PARA DECIR QUE SE CONTRATAN ESTADISTICOS"
108,DATIO MEXICO,CHIEF DATA SCIENTIST,9,11,18,10,0,TECNOLOGIA BIG DATA,2,DESARROLLO DE PROCESOS Y SOFTWARE ESTADISTICO,ANALISIS Y PROCESAMIENTO DE DATOS A GRAN ESCALA,MODELOS ESTADISTICOS Y DE MACHINE LEARNING,MATEMATICAS,ACTUARIA,COMPUTACION, ,X, ,X,X,N,0,N, ,S, ,X, , ,N,N,0,S,X,X, , , , , , , , , , , ,N,0,N,N,S,S,S,FACULTAD DE CIENCIAS UNAM,UNAM - FES ACATLAN,UNAM - IIMAS,5,5,4,5,1,4,3,1,1,1,2,3,3,2,1,3,3,1,1,1,1,1,ANALISIS MULTIVARIADO,3,MODELOS DE CLASIFICACION,3,N,N, , ,S,PYTHON,SQL,TERMINAL LINUX,3,3,2,3,S,N,S,N,FALTA DE CONOCIMIENTOS EN AREA DE COMPUTACION Y BASES DE DATOS,FALTA DE CONOCIMIENTOS EN EL AREA DE ESTADISTICA,FALTA DE CONOCIMIENTOS EN HERRAMIENTAS PARA TRABAJAR DATOS,DESCONOCIMIENTO EN CUANTO A FASES DE LIMPIEZA Y PROCESAMIENTO DE DATOS,S,N,S,S, 
